artist,year,occurrences,title
My Chemical Romance,2002,9949,Cubicles
She & Him,2010,9943,In the Sun
Frightened Rabbit,2008,9936,Bright Pink Bookmark
Butthole Surfers,1996,9930,Ulcer Breakout
Yellowcard,2003,9922,Only One
Dixie Chicks,2010,9892,Some Days You Gotta Dance
Céline Dion,1996,9889,Because You Loved Me
Bruce Springsteen,1973,9866,Hungry Heart
Phoenix,2009,9850,Lisztomania (Classixx Version)
The Cool Kids,2008,9836,Jingling
Alexisonfire,2006,9831,Crisis
The Whitest Boy Alive,2009,9823,Timebomb
We the Kings,2016,9818,Skyway Avenue
Andrew Bird,2010,9817,"Skin Is, My"
Bayside,2008,9776,"They're Not Horses, They're Unicorns"
The Devil Wears Prada,2009,9774,Wapakalypse
A Fine Frenzy,2007,9769,Lifesize
Oasis,2008,9768,To Be Where There's Life
Animals as Leaders,2009,9766,Point to Point
Cat Power,2003,9759,Good Woman
The Kooks,2008,9753,See the Sun
Eels,1996,9722,Not Ready Yet
Wheatus,2016,9707,Teenage Dirtbag
Hot Hot Heat,2002,9694,Save Us S.O.S.
Foo Fighters,1999,9623,Breakout
Owen Pallett,2010,9619,Mount Alpentine
Gorillaz,2001,9618,Rock the House
Pearl Jam,2003,9595,Wash
Thievery Corporation,2002,9584,Resolution
Caribou,2006,9554,People Eating Fruit
Slightly Stoopid,2005,9521,Open Road
Wilco,2007,9492,Either Way
Vitalic,2005,9492,The Past
Fall Out Boy,2007,9478,Thriller
Alter Bridge,2007,9467,One By One
Black Moth Super Rainbow,2007,9458,They Live In the Meadow
Wiz Khalifa,2009,9457,Get Sum
Beastie Boys,1992,9418,Time For Livin'
Amos Lee,2007,9412,Arms Of A Woman
Radiohead,1995,9410,My Iron Lung
Four Tet,2010,9408,Reversing
Rodrigo y Gabriela,2006,9395,Ixtapa
Morcheeba,2003,9385,Undress Me Now
Underoath,2008,9383,The Created Void
Clannad,1989,9363,Almost Seems (Too Late To Turn)
Audioslave,2002,9354,Show Me How To Live
Alice in Chains,1990,9344,Grind
Paul Kalkbrenner,2004,9333,The Palisades
Metallica,1997,9317,Bad Seed
The Wannadies,2009,9316,You & Me Song
Miley Cyrus,2008,9313,These Four Walls
The Avett Brothers,2010,9299,January Wedding
Nouvelle Vague,2009,9281,All My Colours
Flight of the Conchords,2009,9273,Demon Woman
Alex Gaudino,2008,9272,Watch Out
Klaus Badelt,2003,9271,Underwater March
Faithless,2002,9253,One Step Too Far
Sugarcult,2001,9214,Saying Goodbye
Anberlin,2008,9213,Soft Skeletons
The Pussycat Dolls,2010,9212,Bottle Pop
Marilyn Manson,2003,9186,Vodevil
Young Money,2009,9174,Ms. Parker
The Mars Volta,2009,9147,Luciforms
New Found Glory,2002,9146,Forget My Name
The Undertones,1980,9141,My Perfect Cousin
Elliott Smith,1997,9113,Cupid's Trick
Cake,2004,9110,Dime
Yellowcard,2006,9089,Grey
Horse Feathers,2006,9089,Walking & Running
As I Lay Dying,2006,9058,Confined
Weezer,1996,9044,Why Bother?
Faith No More,2000,9030,The Morning After
Tokio Hotel,2010,9013,Spring nicht
The Mars Volta,2006,8992,El Ciervo Vulnerado
Shwayze,2008,8991,Roamin'
Toby Keith,1999,8988,You Shouldn't Kiss Me Like This
Eastern Sun,2004,8955,Rapture at Sea
Cake,2002,8947,Short Skirt/Long Jacket
Alicia Keys,2007,8946,Tell You Something (Nana's Reprise)
The Bird and the Bee,2009,8936,Love Letter to Japan
The Cranberries,2002,8935,Salvation
Paolo Nutini,2009,8912,Coming Up Easy
Yael Naim,2007,8904,Shelcha
Nile,2007,8904,Black Seeds of Vengeance
Metric,2005,8903,Wet Blanket
Matt Costa,2006,8899,Sweet Thursday
