artist,year,occurrences,title
Miss Kittin & The Hacker,2001,1303,Slow Track
Thom Yorke,2008,1302,The Clock (Surgeon Remix)
Rachael Yamagata,2004,1302,Letter Read
Dustin Tebbutt,2013,1302,The Breach
Faithless,1996,1302,Drifting Away
Cocteau Twins,2006,1301,Kookaburra
Arch Enemy,1996,1301,Eureka
Huey Lewis & The News,1986,1301,Doing It All for My Baby
Enya,2008,1300,Stars And Midnight Blue
Deerhoof,2003,1299,Heart Failure
The Joy Formidable,2010,1299,9669
Flogging Molly,2004,1299,Factory Girls
Pink Martini,2007,1298,Syracuse
Cold Cave,2009,1298,The Laurels of Erotomania
PPK,2014,1297,ResuRection
Jens Lekman,2007,1296,It Was a Strange Time in My Life
Bullet for My Valentine,2007,1296,Her Voice Resides
Guttermouth,2001,1295,I'm Destroying the World
OutKast,1996,1295,Ova Da Wudz
Touché Amoré,2009,1295,Cadence
Animal Collective,2006,1295,Grass
Hayley Westenra,2004,1295,Across the Universe of Time
Conjure One,2005,1294,Dying Light
Happy Mondays,2012,1294,Step On
Halou,2006,1293,Morsecode
She Wants Revenge,2007,1293,This Is The End
Everclear,2000,1293,When It All Goes Wrong Again
Underworld,1994,1293,Dark & Long
Noir Désir,1994,1292,One Trip One Noise
Hans Zimmer,2000,1292,The Might of Rome
Every Time I Die,2006,1291,Bored Stiff
Sarah Brightman,2010,1291,Nella Fantasia
Bonobo,2000,1290,Silver
Syd Barrett,1970,1290,It Is Obvious
Emilíana Torrini,2005,1290,Honeymoon Child
The Divine Comedy,1999,1290,National Express
Ayreon,2009,1289,The Awareness
Robbie Williams,2013,1288,Dream A Little Dream
Eluveitie,2010,1288,Lugdūnon
Sarah McLachlan,2008,1288,I Will Remember You
Avril Lavigne,2002,1288,Nobody's Fool
Mulatu Astatke,1969,1287,Yèkèrmo sèw
The Clash,1993,1286,Jail Guitar Doors
Koop,1997,1286,Once Britten
Andrés Calamaro,2000,1286,Tuyo Siempre
Chris Cagle,2007,1285,What Kinda Gone
DIR EN GREY,2007,1285,LIE BURIED WITH A VENGEANCE
Bloodbath,2008,1285,Like Fire
Emarosa,2007,1285,Utah
Relient K,2008,1284,The Lining Is Silver
Lali Puna,2006,1284,Together in Electric Dreams
Pixies,1997,1284,Tame
Quarteto Em Cy,2012,1284,Tudo Que Voce Podia Ser
Nightmares on Wax,2010,1282,Flip Ya Lid
Katatonia,2009,1281,Onward Into Battle
Redman,2010,1281,Smoke Buddah
Radiohead,2016,1281,Identikit
Dark New Day,2005,1281,Lean
Descendents,1991,1280,Pervert
Little People,2010,1279,Unsaid
Manu Chao,2014,1278,Luna y Sol
"Earth, Wind & Fire",1988,1278,Saturday Nite
Stevie Wonder,2013,1278,You've Got It Bad Girl
Fall Out Boy,2009,1278,Dead on Arrival
Margot & the Nuclear So and So's,2005,1278,Bookworm
Priscilla Ahn,2010,1277,Find My Way Back Home
Adema,2001,1277,Blow It Away
Fats Domino,2013,1277,Walking to New Orleans
Ladyhawke,2008,1277,Love Don't Live Here
Black Label Society,2005,1277,Death March
Bloodhound Gang,2010,1271,You're Pretty When I'm Drunk
September,2008,1271,Until I Die
Mason,2012,1271,Exceeder
Bruce Springsteen,1984,1270,No Surrender
Wu-Tang Clan,2008,1270,Reunited
Skinny Puppy,2014,1269,Magnifishit
Document One,2011,1268,Clap
Yo La Tengo,2003,1267,Cherry Chapstick
Amon Amarth,2009,1267,...And Soon The World Will Cease To Be
Symphony X,1995,1267,Whispers
Borknagar,2008,1267,The Dawn Of The End
The Polyphonic Spree,2002,1266,Soldier Girl
Pink Floyd,1994,1263,Coming Back to Life
Lamb of God,2002,1262,Now You've Got Something To Die For
Fink,2007,1262,Blueberry Pancakes
Neko Case,2007,1261,Deep Red Bells
Darryl Worley,2002,1260,I Miss My Friend
Basement Jaxx,2001,1259,Do Your Thing
Live,2010,1258,Run To The Water
Neil Young,2009,1258,I've Loved Her So Long
The Jesus and Mary Chain,1989,1257,Coast to Coast
Russian Circles,2006,1257,Enter
Datarock,2005,1257,Princess
Spoon,2007,1256,Black Like Me
VNV Nation,2007,1256,Testament
Karunesh,2015,1256,Inshallah
The Rolling Stones,1981,1256,Tops
R.E.M.,1984,1256,Pretty Persuasion
Fenix TX,1999,1255,Surf Song
Big L,2012,1255,Ebonics
Therion,2004,1255,Typhon
Poe,2000,1255,Hey Pretty
The Rifles,2015,1255,Local Boy
Just Jack,2010,1254,The Day I Died
Nas,2018,1253,It Ain't Hard to Tell
Deathstars,2006,1253,Play God
The Gaslight Anthem,2010,1253,American Slang
Between the Buried and Me,2008,1253,Informal Gluttony
The Berzerker,2009,1252,No More Reasons
The Boomtown Rats,1994,1252,I Don't Like Mondays
Battles,2004,1251,IPT2
Air Traffic,2007,1251,No More Running Away
Wild Belle,2013,1251,Backslider
Infected Mushroom,2010,1251,IM the Supervisor
Trevor Rabin,1998,1251,Theme From Armageddon
Nick Cave & The Bad Seeds,2004,1249,Messiah Ward
The Libertines,2002,1246,Horrorshow
M83,2007,1245,Sister (Part 1)
Ben Kweller,2006,1245,Penny on the Train Track
Chrisette Michele,2007,1244,Best Of Me
Guillemots,2006,1244,Redwings
The Magic Numbers,2005,1243,Mornings Eleven
Blue Foundation,2004,1243,As I Moved On
Easy Star All-Stars,2003,1242,Time Version
The Horrors,2009,1241,Mirror's Image
Linkin Park,2000,1241,High Voltage
Silverstein,2009,1241,Their Lips Sink Ships
Real Estate,2014,1239,Crime
John Brown's Body,2003,1239,33 RPM
Ramona Falls,2009,1237,The Darkest Day
Vanessa Paradis,2009,1237,Dès Que J'Te Vois
Municipal Waste,2007,1236,Septic Detonation
Leonard Cohen,1969,1236,You Know Who I Am
Devo,1993,1235,Girl U Want
Asking Alexandria,2012,1235,Run Free
Saga,1998,1233,Wind Him Up
Down,2020,1232,Lifer
Ben Gibbard,2003,1232,You Remind Me Of Home
Anna Ternheim,2006,1231,One To Blame
Scooter,2018,1231,Shake That!
Senses Fail,2005,1230,Bloody Romance
Puddle of Mudd,2001,1230,Out Of My Head
Jasmine Thompson,2014,1230,Rather Be
Smash Mouth,1997,1228,Let's Rock
Despised Icon,2005,1228,Immaculate
High Contrast,2007,1227,Tread Softly
Delerium,1997,1227,Forgotten Worlds
Burning Spear,2005,1226,Door Peep
Ensiferum,2009,1225,Smoking Ruins
John Legend,2010,1224,Refuge (When It's Cold Outside)
Skalpel,2005,1224,Hiperbole
Nightmares on Wax,2006,1223,Chime Out
The Cinematic Orchestra,2008,1222,Opening Titles
Beats Antique,2010,1222,Tabla Toy
Elliott Smith,2009,1221,Angel in the Snow
Nightwish,1998,1221,The Riddler
Distance,2007,1219,Cella
Jacques Offenbach,2013,1219,Barcarole
Natiruts,2004,1219,Deixa O Menino Jogar
Alice in Chains,1993,1219,Hate to Feel
Finntroll,2014,1218,Det Iskalla Trollblodet
Craig Armstrong,2011,1217,Weather Storm
Strapping Young Lad,2007,1217,Wrong Side
Tom Waits,1983,1216,Trouble's Braids
Taking Back Sunday,2006,1215,I'll Let You Live
Los Auténticos Decadentes,2006,1211,Los Piratas
Suicide,2011,1211,Cheree
New Order,1994,1210,Bizarre Love Triangle '94
The Wallflowers,1996,1209,6th Avenue Heartache
Norma Jean,2014,1209,The End Of All Things Will Be Televised
Easy Star All-Stars,2013,1208,Any Dub You Like
Gwen Stefani,2016,1208,Where Would I Be?
Reel Big Fish,2002,1207,Cheer Up
Maxwell,1996,1206,Ascension (Don't Ever Wonder)
Eisbrecher,2006,1205,Der Anfang
Pantera,2013,1204,Hollow
Hindi Zahra,2011,1204,Stand up
Jaga Jazzist,2005,1204,All I Know Is Tonight
Sugar Ray,2013,1203,Every Morning
The Raveonettes,2009,1202,Break Up Girls!
Mr. Scruff,2008,1202,Music Takes Me Up
Derrick Morgan,2012,1202,Blazing Fire
Kettcar,2005,1201,"Stockhausen, Bill Gates und ich"
Maroon 5,2002,1201,Not Coming Home
Epica,2007,1200,The Divine Conspiracy
Eagle-Eye Cherry,2012,1200,Save Tonight
K-Ci & JoJo,2013,1200,Tell Me It's Real
Joe Nichols,2002,1199,Cool To Be A Fool
First Aid Kit,2010,1197,A Window Opens
Echo & the Bunnymen,2011,1197,All That Jazz
NEEDTOBREATHE,2007,1196,More Time
Hot Water Music,2002,1194,Alright for Now
Emery,2005,1194,The Terrible Secret
Goran Bregović,1990,1194,Scena Pojavljivanja majke
Wolfgang Gartner,2010,1192,Fire Power
Eyehategod,1996,1192,Broken Down But Not Locked Up
Tricky,1999,1191,Contradictive
Chris Cagle,2000,1191,My Love Goes On And On
The Vaselines,2009,1191,Lovecraft
Haggard,2004,1190,Gavotta In Si-Minore
Faith No More,1987,1189,Faster Disco
John Prine,2000,1189,Sam Stone
The Offspring,1992,1189,No Hero
Unearth,2004,1188,Aries
Vangelis,1994,1188,Tales of the Future
Belle and Sebastian,2000,1188,There's Too Much Love
Therion,2007,1186,Tuna 1613
Oasis,2006,1185,Acquiesce
Sleater-Kinney,1996,1184,I Wanna Be Your Joey Ramone
Cradle of Filth,2002,1183,Carmilla's Masque
Ben Folds Five,1999,1182,Your Redneck Past
Alkaline Trio,2011,1182,This Could Be Love
Finntroll,1999,1182,Bastuvisan
702,2008,1181,Where My Girls At
David Usher,2010,1181,Black Black Heart
DIR EN GREY,2005,1181,C
Fake Blood,2011,1181,I Think I Like It
Ayreon,2008,1181,The Castle Hall
Mad Caddies,2007,1181,The Dirge
Godsmack,2006,1180,One Rainy Day
Mariah Carey,2011,1178,All I Want for Christmas Is You
Melody Club,2002,1178,Palace Station
IAMX,2006,1177,Lulled By Numbers
Chuck Berry,2010,1177,Route 66
Beck,1999,1177,Sexx Laws
It Dies Today,2007,1176,"Through Leaves, Over Bridges"
Killing Joke,1995,1175,Follow The Leaders
Dream Theater,2002,1175,Goodnight Kiss
Aphex Twin,1994,1175,#3
Fightstar,2006,1175,Paint Your Target
Slowdive,1996,1175,Trellisaze
Dance Gavin Dance,2006,1174,The Robot Vs. Heroin Battle Of Vietnam
Goldfrapp,2003,1173,Slippage
Flunk,2007,1173,Personal Stereo
Rufus Wainwright,2007,1172,Leaving For Paris No. 2
Ace of Base,1995,1172,Beautiful Life
Jan Delay,2011,1171,Für immer und dich
Bad Brains,1982,1169,Don't Need It
Blur,1995,1168,Dan Abnormal
Devin Townsend,2013,1168,Color Your World
The Smashing Pumpkins,2013,1166,Destination Unknown
The Dandy Warhols,2003,1166,Scientist
Penguin Cafe Orchestra,1981,1166,Yodel 2
Sarah Blasko,2010,1166,We Won't Run
Thievery Corporation,2009,1165,La Femme Parallel
Jon & Vangelis,1981,1165,The Mayflower
The Zombies,2007,1165,I Want Her She Wants Me
Less Than Jake,1996,1165,Happyman
Travis,2003,1165,The Cage
Engenheiros Do Hawaii,1990,1164,O Papa É Pop
Electric Light Orchestra,2013,1163,Rock and Roll Is King
The Thermals,2006,1163,Test Pattern
Hurts,2010,1162,Silver Lining
Enigma,2008,1161,Distorted Love
Lacrimosa,1996,1161,Copycat
Conjure One,2006,1160,Tears From the Moon
Gojira,2016,1159,Magma
Patrick Park,2003,1159,Something Pretty
Soul Coughing,2002,1159,Blueeyed Devil
Digable Planets,1994,1157,Dog It
Lunatic Soul,2008,1157,Waiting For The Dawn
Gipsy Kings,2003,1156,Soy
Reel Big Fish,1995,1156,Skatanic
Brooks & Dunn,2005,1155,Hillbilly Deluxe
Lisa Loeb,2006,1155,Fools Like Me
Charlotte Gainsbourg,2007,1155,Beauty Mark
Subway to Sally,2007,1155,Die Trommel
Montgomery Gentry,1999,1154,If You Ever Stop Loving Me
Opeth,2005,1154,Atonement
Collie Buddz,2008,1153,Blind To You
Wagon Christ,2001,1152,Thick Stew
The Blues Brothers,2005,1152,Going Back to Miami
The Prodigy,1994,1151,3 Kilos
The Kinks,1964,1150,All Day and All of the Night
Jack Johnson,2008,1149,All At Once
At the Drive-In,1996,1147,Initiation
Saxon,2002,1147,Crusader
The Futureheads,2005,1146,Decent Days And Nights
Snowden,2006,1146,Anti-Anti
Enya,2019,1146,"O Come, O Come, Emmanuel"
Saosin,2008,1145,I Never Wanted To
Every Avenue,2008,1144,This One's A Cheap Shot
Richie Spice,2007,1144,Youth Dem Cold
Close Your Eyes,2010,1143,Song For The Broken
Say Anything,2008,1143,"Baby Girl, I'm a Blur"
Talking Heads,2012,1143,And She Was
Ólafur Arnalds,2009,1142,Við vorum smá... (Dyad 1909 version)
The Charlatans,2008,1142,The Misbegotten
Powerman 5000,1999,1142,Watch The Sky For Me
Maria Mena,2005,1142,Our Battles
Matt Costa,2007,1142,Heart Of Stone
Joy Division,2001,1141,Day of the Lords
Stray Cats,2009,1141,Runaway Boys
Motörhead,1999,1139,Iron Fist
Family Force 5,2010,1139,Radiator
From Autumn To Ashes,2001,1139,The Switch
Mr. Scruff,2009,1139,Do You Hear?
The Boy Least Likely To,2005,1138,Fur Soft As Fur
Tom Waits,1993,1137,Oily Night
MxPx,2005,1137,Call In Sick
Il Divo,2005,1137,En Aranjuez Con Tu Amor
The Farm,2013,1136,All Together Now
The Offspring,1997,1135,Mota
Thursday,2006,1135,The Other Side Of The Crash/Over And Out (Of Control)
Federico Aubele,2006,1135,Postales
Ginuwine,2014,1135,In Those Jeans
Breakbot,2010,1134,Baby I'm Yours
Him,2007,1134,Acoustic Funeral (For Love In Limbo)
Lifehouse,2007,1134,Learn You Inside Out
Black Sabbath,2009,1133,Sweet Leaf
Black Eyed Peas,2008,1132,My Humps
Do Make Say Think,2007,1132,In Mind
Babyshambles,2005,1132,Back From the Dead
The Academy Is...,2008,1132,Summer Hair = Forever Young
Aimee Mann,2002,1132,Real Bad News
Brandi Carlile,2007,1132,Shadow on the Wall
Kreator,1990,1131,World Beyond
Skinny Puppy,2007,1131,Ambiantz
Unearth,2008,1129,The March
Juvenile,2004,1129,Back That Thang Up
Saliva,2010,1128,Badass
Green Day,1997,1128,Scattered
Basil Poledouris,1982,1127,Riddle of Steel / Riders of Doom
Cocteau Twins,1990,1127,Frou-Frou Foxes in Midsummer Fires
Lynyrd Skynyrd,1991,1126,I Never Dreamed
Ferry Corsten,2011,1125,Sublime
Cocteau Twins,1986,1124,From the Flagstones
Dead Kennedys,1981,1123,Forest Fire
Helloween,2016,1122,Ride the Sky
Groove Armada,2004,1122,My Friend
Queen,2015,1121,Too Much Love Will Kill You
Queensrÿche,2007,1121,Della Brown
The Cranberries,2005,1120,I Can't Be With You
Robbie Williams,2015,1119,Millennium
Radiohead,2008,1119,Go to Sleep
Paramore,2008,1118,That's What You Get
Machinae Supremacy,2007,1117,Overworld
Chevelle,2007,1116,Antisaint
Smile Empty Soul,2001,1116,Finding Myself
Noisettes,2007,1115,Mind The Gap
Grace Jones,1981,1114,Pull Up To The Bumper
My Bloody Valentine,1995,1114,Only Shallow
múm,2007,1113,They Made Frogs Smoke 'til They Exploded
Katy Perry,2013,1113,Birthday
Beth Gibbons & Rustin Man,2002,1113,Rustin Man
The Aquabats,1997,1112,Martian Girl
Megadeth,2007,1112,Go To Hell
Horse Feathers,2008,1112,Falling Through the Roof
At the Drive-In,1999,1111,Proxima Centauri
Ennio Morricone,1986,1111,Miserere
Moonbabies,2007,1110,War On Sound
The Count Five,2011,1110,Psychotic Reaction
No Doubt,2000,1109,New
New Order,1986,1108,As It Is When It Was
Tensnake,2014,1108,Coma Cat
In Extremo,2003,1108,Sefardim
Disturbed,2000,1107,Stupify
Eric Prydz,2008,1107,Pjanoo (High Contrast Remix)
Kate Havnevik,2006,1107,Unlike Me
Mary Chapin Carpenter,2013,1106,He Thinks He'll Keep Her
Quantic,2004,1106,Furthest Moment
Samantha Mumba,2011,1105,Gotta Tell You
Jay-Z,2006,1105,22 Two's
Empire of the Sun,2010,1103,We Are The People (Burns Remix)
The Brian Jonestown Massacre,2011,1103,Anemone
Yelle,2006,1103,Jogging
Heatwave,2011,1103,Boogie Nights
...And You Will Know Us by the Trail of Dead,1999,1102,Sigh Your Children
Evangelicals,2008,1101,Skeleton Man
Piano Magic,2005,1101,Your Ghost
Everything But the Girl,2008,1099,Hatfield 1980
The Raveonettes,2007,1099,That Great Love Sound
Kreator,1989,1099,Don't Trust
Blackfield,2009,1098,Blackfield
Björk,2002,1098,Hyperballad
And So I Watch You From Afar,2009,1097,Start a Band
The Get Up Kids,2005,1096,Mass Pike
The Maccabees,2007,1095,X-Ray
Fall Out Boy,2003,1095,Calm Before the Storm
Behemoth,2004,1095,The Reign Ov Shemsu-Hor
Circa Survive,2010,1095,Strange Terrain
Sash!,2009,1094,With My Own Eyes
Goldfrapp,2010,1094,Hunt
Salif Keita,2013,1093,Madan
Gabriella Cilmi,2008,1093,Einstein
Téléphone,2000,1092,Un autre monde
Happy Mondays,1999,1092,Kinky Afro
A Sunny Day In Glasgow,2007,1092,The Best Summer Ever
Q-Tip,2008,1089,Dance On Glass
Me First and the Gimme Gimmes,2008,1089,Country Roads
After the Burial,2008,1088,Rareform
Seeed,2003,1087,Love Is The Queen
Children of Bodom,2000,1086,Northern Comfort
The Specials,1979,1086,Doesn't Make It Alright
Paul Kalkbrenner,2013,1086,Square 1
Patrick Wolf,2003,1085,To The Lighthouse
Leftfield,1993,1085,Space Shanty
Surkin,2008,1085,Next of Kin
Phil Collins,2004,1085,Do You Remember?
Tony Orlando & Dawn,2013,1084,Knock Three Times
DJ Krush,2004,1083,Distant Voices
Underoath,2013,1082,Watch Me Die
Beulah,2001,1082,Night Is the Day Turned Inside Out
John Anderson,1992,1081,Seminole Wind
Ojos de Brujo,2002,1081,Rememorix
Martin O'Donnell & Michael Salvatori,2004,1081,The Last Spartan
In This Moment,2007,1079,The Legacy Of Odio
Cobra Starship,2006,1078,Being From Jersey Means Never Having To Say You're Sorry
Ozzy Osbourne,1997,1077,Crazy Babies
Joe Strummer and the Mescaleros,2001,1077,Bummed Out City
Lila Downs,1999,1076,Naila
The Bouncing Souls,2001,1076,Manthem
The Dickies,2010,1075,Banana Splits
Orphaned Land,2004,1075,A Call To Awake (the Quest)
Riverside,2004,1074,The Curtain Falls
The Rapture,2003,1074,The Coming Of Spring
G-Unit,2003,1074,I'm So Hood
Carter Burwell,2009,1074,Lost Fur
Into Eternity,2006,1073,A Past Beyond Memory
Sinéad O'Connor,2012,1072,The Emperor's New Clothes
Megadeth,2010,1071,Peace Sells
Bob Dylan,1966,1071,Just Like a Woman
Kode9,2009,1071,9 Samurai
The Offspring,2000,1071,Special Delivery
"The Good, the Bad & the Queen",2006,1071,Herculean
Wintersun,2014,1068,Winter Madness
Cat Power,2007,1068,Cross Bones Style
Gillian Welch,2003,1068,Make Me A Pallet On Your Floor
Mac DeMarco,2013,1068,Annie
Richard Ashcroft,2006,1066,Sweet Brother Malcolm
Tomte,2006,1066,Warum ich hier stehe
The Word Alive,2009,1065,The Only Rule Is That There Are No Rules
Fugees,2010,1065,Fu-Gee-La
Love,2003,1065,Your Mind And We Belong Together
The Cranberries,2011,1063,Not Sorry
Darkside,2013,1062,Heart
Tom Waits,1998,1062,Way Down in the Hole
Bobbi Humphrey,2014,1062,Harlem River Drive
Toots and The Maytals,2006,1061,Sweet and Dandy
Grandmaster Flash,2010,1061,White Lines
James Horner,2015,1061,The Ludlows
The Specials,1996,1061,Little Bitch
Handsome Furs,2007,1060,Dumb Animals
Dub Incorporation,2008,1059,My Freestyle
Katatonia,2001,1059,Chrome
Paris Combo,1997,1058,On N'a Pas Besoin
Astrud Gilberto,2013,1057,Meditation
The Future Sound of London,1994,1057,Flak
Scooter,2013,1057,4 AM
Riverside,2005,1056,Dance With the Shadow
Live,1999,1056,Feel The Quiet River Rage
Andy Kim,2011,1056,Rock Me Gently
Mors Principium Est,2007,1055,The oppressed will rise
Ministry,2014,1055,Rio Grande Blood
Korn,2007,1054,Innocent Bystander
Dead Man's Bones,2010,1053,Pa Pa Power
Lightning Bolt,2008,1052,Into the Mist 2
The Detroit Cobras,2013,1049,Cha Cha Twist
Job for a Cowboy,2009,1048,March To Global Enslavement
The Roots,1995,1048,Distortion To Static
Blue October,2012,1048,Kangaroo Cry
G-Unit,2014,1047,Poppin' Them Thangs
The Hives,2000,1047,Supply and Demand
Beach House,2012,1046,Irene
Squarepusher,2006,1046,Theme from Sprite
Manowar,1996,1046,Outlaw
Snoop Dogg,2013,1045,Gin And Juice
Wyclef Jean,2006,1045,Perfect Gentleman
Jonny Lang,1998,1045,Before You Hit The Ground
Patrick Wolf,2012,1045,The Magic Position
Leena Conquest,1999,1044,Dance With Me Tonight
Motion City Soundtrack,2005,1043,Better Open The Door
Dinosaur Jr.,1985,1043,Repulsion
Steppenwolf,1999,1042,Snowblind Friend
Silverchair,1995,1042,Cicada
My Chemical Romance,2004,1041,Teenagers
Arca,2017,1041,Piel
Mindy Smith,2012,1039,One Moment More
Keane,2008,1039,Pretend That You're Alone
Underworld,2007,1038,To Heal
Millencolin,2005,1037,Shut You Out
Helloween,2010,1037,Save Us
In Flames,1995,1037,Subterranean
Philip Glass,2002,1035,Primacy of Number
Sevdaliza,2017,1035,Scarlette
Norther,2008,1035,If You Go
Dirty Vegas,2006,1034,Days Go By (Acoustic)
Matisyahu,2006,1033,Ancient Lullaby
ASHES dIVIDE,2008,1032,Enemies
Sub Sub,1994,1032,Past
Isis,2017,1032,Threshold of Transformation
Ill Niño,2006,1031,What You Deserve
Derek and the Dominos,1970,1031,I Am Yours
Everything But the Girl,1999,1030,Compression
Selena Gomez,2020,1030,Rare
The Undertones,2009,1029,Here Comes the Summer
Kate Bush,1986,1028,Army Dreamers
Phil Collins,1990,1028,Something Happened on the Way to Heaven
Bob Dylan,2014,1028,Man of Constant Sorrow
Garbage,2005,1028,Happy Home
Christophe Maé,2007,1026,On s'attache
Bebel Gilberto,2010,1026,August Day Song
Lush,1992,1026,Covert
The O'Jays,1995,1026,I Love Music
Bad Brains,1997,1024,I Against I
Childish Gambino,2012,1024,Heartbeat
Israel Vibration,1998,1023,Get Up And Go
For Today,2009,1022,Nicodemus (The Seeker)
Thousand Foot Krutch,2003,1022,I Climb
Lemongrass,2010,1022,Grass-Hopper
Shayne Ward,2007,1022,No Promises
Anthrax,2001,1021,Indians
Rancid,1995,1021,I Wanna Riot
Hard-Fi,2004,1021,Cash Machine
The Calling,2011,1021,Could It Be Any Harder
Kid Sister,2009,1020,Right Hand Hi
Nathan Fake,2006,1020,You Are Here
Balkan Beat Box,2005,1019,Bulgarian Chicks
The Jacksons,2013,1019,Shake Your Body (Down to the Ground)
Moonspell,1998,1019,Flesh
Heavy Heavy Low Low,2007,1018,"Buddy, You're Making No Sense"
Eddy Grant,2013,1017,I Don't Wanna Dance
Talking Heads,1992,1017,Girlfriend Is Better
Com Truise,2014,1016,Subsonic
Bleeding Through,2008,1016,Reborn from Isolation
