occurences,year,artist
164,2015,Pere Ubu
164,2015,Ray J
159,2015,Mike Oldfield
144,2015,Stevie Wonder
140,2015,CHON
137,2015,King Dude
132,2015,Aztec Camera
125,2015,Health
110,2015,Kim Wilde
110,2015,Ornette Coleman
109,2015,Ringo Deathstarr
107,2015,Meghan Trainor
105,2015,Alice in Chains
105,2015,Jagged Edge
102,2015,Joanna Gruesome
102,2015,Sturgill Simpson
101,2015,Chelsea Wolfe
101,2015,Fugees
100,2015,Twenty One Pilots
95,2015,Tame Impala
90,2015,Manu Dibango
89,2015,Muffler
86,2015,Battle Beast
85,2015,Philip George
84,2015,Boards of Canada
82,2015,Daughter
82,2015,Heaven Shall Burn
78,2015,Anaal Nathrakh
74,2015,Emperor
74,2015,Imagine Dragons
73,2015,Dr. Hook
73,2015,Ed Sheeran
70,2015,Sia
66,2015,The Pretenders
63,2015,Chris Joss
63,2015,Lapalux
61,2015,Kanye West
60,2015,Fifth Harmony
57,2015,Buzzcocks
57,2015,\u00b5-Ziq
56,2015,Sun Ra
54,2015,John Lee Hooker
53,2015,Years & Years
51,2015,Clap Your Hands Say Yeah
51,2015,Meredith Brooks
49,2015,Bonobo
49,2015,The Beach Boys
48,2015,C\u00e9sar Franck
44,2015,Nero
43,2015,John Cage
43,2015,Joni Mitchell
43,2015,Marianne Faithfull
43,2015,Noisuf-X
40,2015,Bowling for Soup
40,2015,Ensiferum
39,2015,DIIV
39,2015,Immortal
38,2015,Charley Patton
37,2015,Blind Guardian
36,2015,Coheed and Cambria
36,2015,The Soft Moon
35,2015,Florence + the Machine
34,2015,John Mayer
33,2015,Siege
32,2015,Kenyon Hopkins
32,2015,Thomas Jack
30,2015,Napalm Death
29,2015,Zombie Zombie
28,2015,K.I.Z.
28,2015,Lena
27,2015,The Prodigy
26,2015,Dance Gavin Dance
26,2015,Madonna
26,2015,Of Mice & Men
25,2015,Kiasmos
24,2015,Bj\u00f6rk
23,2015,Frank Sinatra
22,2015,Faith No More
21,2015,Cro
21,2015,Popof
20,2015,The Capitols
19,2015,Zac Brown Band
18,2015,Alabama Shakes
18,2015,Dimension
18,2015,Sevdaliza
16,2015,Fatima Yamaha
16,2015,The Flaming Lips
15,2015,Dolly Parton
15,2015,Lower Dens
15,2015,Lunchmoney Lewis
15,2015,The Veronicas
13,2015,Alan Jackson
13,2015,Herman's Hermits
13,2015,Red Hot Chili Peppers
12,2015,Carly Rae Jepsen
12,2015,Exo
12,2015,Modest Mouse
12,2015,Mtume
12,2015,Terry Jacks
11,2015,Brandon Flowers
11,2015,Nxworries
11,2015,Patsy Cline
10,2015,Kamelot
10,2015,Kendrick Lamar
10,2015,The Wombats
9,2015,Fleshgod Apocalypse
9,2015,Jane Air
9,2015,Sharon Van Etten
8,2015,Fleetwood Mac
8,2015,Frankie Goes to Hollywood
8,2015,John Denver
8,2015,Perfume
8,2015,The War on Drugs
7,2015,Cam
7,2015,Chris Brown
7,2015,Drake
7,2015,Fred Astaire
7,2015,Justin Bieber
7,2015,Roxette
6,2015,Charli XCX
5,2015,Die Antwoord
5,2015,Kat Dahlia
5,2015,Of Monsters and Men
5,2015,Orchestra Baobab
4,2015,David Bowie
4,2015,Jaakko Eino Kalevi
4,2015,Ultrabeat
